StudentID,Name,Gender,AttendanceRate,StudyHoursPerWeek,PreviousGrade,ExtracurricularActivities,ParentalSupport,FinalGrade
598,Student_598,Male,35,11,71,0,High,54
599,Student_599,Female,82,16,68,3,High,63
600,Student_600,Female,88,19,62,4,Medium,60
601,Student_601,Male,75,22,100,5,Medium,73
602,Student_602,Female,93,5,78,4,High,60
603,Student_603,Female,83,15,75,3,Low,51
604,Student_604,Female,96,9,86,0,High,66
605,Student_605,Male,86,15,67,3,High,60
606,Student_606,Male,88,30,75,0,Low,59
607,Student_607,Male,87,18,76,1,Low,54
608,Student_608,Female,82,21,69,0,High,71
609,Student_609,Female,100,28,89,1,Medium,86
610,Student_610,Female,84,23,72,1,Low,63
611,Student_611,Male,96,13,56,0,Medium,62
612,Student_612,Female,79,8,71,5,Medium,51
613,Student_613,Female,91,16,78,2,Medium,72
614,Student_614,Female,92,13,64,0,High,71
615,Student_615,Female,88,7,65,4,High,47
616,Student_616,Male,83,17,68,5,Medium,59
617,Student_617,Male,86,18,90,5,Medium,68
618,Student_618,Female,85,27,69,4,Medium,65
619,Student_619,Male,100,14,92,2,Medium,71
620,Student_620,Male,88,18,68,5,Low,55
621,Student_621,Female,92,12,79,1,High,62
622,Student_622,Female,100,21,70,2,High,71
623,Student_623,Male,81,15,84,4,Medium,68
624,Student_624,Female,88,9,62,2,Medium,52
625,Student_625,Male,86,16,84,0,Medium,67
626,Student_626,Female,87,18,76,2,Medium,61
627,Student_627,Male,87,18,67,1,Medium,62
628,Student_628,Female,82,22,73,0,Medium,58
629,Student_629,Male,90,7,93,3,High,63
630,Student_630,Male,79,11,77,4,Medium,55
631,Student_631,Male,96,20,67,4,Medium,57
632,Student_632,Female,93,12,61,2,High,55
633,Student_633,Male,84,17,81,5,Low,60
634,Student_634,Male,84,1,77,0,Medium,49
635,Student_635,Female,90,32,83,3,Medium,81
636,Student_636,Female,82,14,57,0,Medium,49
637,Student_637,Male,100,23,61,4,High,70
638,Student_638,Male,91,14,89,0,Medium,62
639,Student_639,Female,91,18,10,3,High,73
640,Student_640,Female,93,25,81,5,Medium,78
641,Student_641,Female,83,23,63,2,Medium,64
642,Student_642,Female,97,15,63,1,High,69
643,Student_643,Female,89,15,87,0,Medium,65
644,Student_644,Male,96,22,87,1,Medium,76
645,Student_645,Female,86,30,62,4,Medium,68
646,Student_646,Male,99,17,60,2,Medium,54
647,Student_647,Male,91,28,74,2,Low,67
648,Student_648,Male,100,15,65,0,Medium,55
649,Student_649,Female,85,22,65,5,Medium,73
650,Student_650,Male,90,23,60,2,Medium,60
651,Student_651,Male,80,14,69,0,High,64
652,Student_652,Female,84,12,61,0,Medium,52
653,Student_653,Male,93,23,62,1,High,62
654,Student_654,Male,97,13,79,2,Low,48
655,Student_655,Female,100,11,74,0,Medium,63
656,Student_656,Male,87,12,81,1,High,72
657,Student_657,Male,81,13,55,3,Medium,46
658,Student_658,Male,94,21,75,1,High,63
659,Student_659,Female,79,19,100,1,Medium,68
660,Student_660,Female,93,20,71,0,Low,54
661,Student_661,Female,84,19,85,4,Medium,63
662,Student_662,Male,90,12,85,4,Medium,65
663,Student_663,Male,97,20,85,5,High,75
664,Student_664,Female,87,23,77,4,Medium,63
665,Student_665,Male,95,20,82,1,High,76
666,Student_666,Male,95,19,83,5,High,76
667,Student_667,Female,73,11,83,0,Medium,54
668,Student_668,Female,81,17,62,2,Medium,56
669,Student_669,Male,76,11,55,1,High,55
670,Student_670,Male,100,16,56,1,High,65
671,Student_671,Male,87,6,72,5,Medium,52
672,Student_672,Female,100,6,82,0,Medium,66
673,Student_673,Female,75,15,62,3,Medium,55
674,Student_674,Female,83,13,86,1,Medium,59
675,Student_675,Female,94,17,69,3,Medium,59
676,Student_676,Male,89,15,69,3,High,61
677,Student_677,Female,92,16,65,4,Low,57
678,Student_678,Female,78,20,52,0,Low,46
679,Student_679,Female,99,13,78,3,Medium,60
680,Student_680,Female,94,15,96,0,Medium,74
681,Student_681,Female,91,25,74,4,Medium,70
682,Student_682,Male,83,16,53,0,Medium,58
683,Student_683,Male,91,15,84,1,Medium,68
684,Student_684,Female,86,16,56,3,Low,43
685,Student_685,Male,75,15,60,0,Medium,51
686,Student_686,Female,88,12,72,2,High,67
687,Student_687,Female,87,10,76,0,Medium,50
688,Student_688,Male,96,11,63,3,Medium,57
689,Student_689,Male,70,21,72,4,Medium,59
690,Student_690,Female,90,12,84,4,High,58
691,Student_691,Female,79,15,85,3,Medium,62
692,Student_692,Female,91,20,90,1,Medium,66
693,Student_693,Male,91,14,98,1,High,67
694,Student_694,Female,87,20,85,4,Medium,68
695,Student_695,Female,94,7,72,4,Low,40
696,Student_696,Female,78,15,85,3,Medium,58
697,Student_697,Male,97,16,81,1,Low,73
698,Student_698,Female,82,16,81,4,Medium,65
699,Student_699,Female,76,6,77,1,High,51
700,Student_700,Male,86,23,64,4,Medium,69
701,Student_701,Female,71,11,63,0,High,49
702,Student_702,Female,90,18,74,2,Low,55
703,Student_703,Male,86,16,77,5,High,61
704,Student_704,Female,98,22,67,0,Medium,67
705,Student_705,Male,93,29,80,5,Medium,81
706,Student_706,Male,77,8,100,4,Low,51
707,Student_707,Female,81,12,54,2,High,43
708,Student_708,Female,92,17,82,2,Low,66
709,Student_709,Female,95,9,74,4,Low,60
710,Student_710,Female,98,21,80,4,Medium,59
711,Student_711,Male,98,21,70,1,Medium,68
712,Student_712,Female,87,19,73,4,Medium,64
713,Student_713,Male,91,17,77,3,Low,54
714,Student_714,Female,98,24,71,4,Medium,62
715,Student_715,Female,86,9,57,3,Medium,54
716,Student_716,Female,91,16,72,4,Medium,62
717,Student_717,Male,85,12,58,1,Medium,52
718,Student_718,Female,84,21,83,3,High,69
719,Student_719,Female,88,5,53,0,Medium,41
720,Student_720,Female,82,16,87,3,Medium,51
721,Student_721,Female,87,18,80,1,Medium,63
722,Student_722,Male,80,10,80,5,High,68
723,Student_723,Female,86,12,49,3,High,49
724,Student_724,Male,92,16,71,4,High,58
725,Student_725,Male,83,22,89,4,Medium,72
726,Student_726,Male,88,10,69,5,Low,52
727,Student_727,Male,89,11,62,1,Medium,50
728,Student_728,Male,92,23,67,2,Medium,63
729,Student_729,Male,87,14,74,4,Medium,60
730,Student_730,Female,97,11,65,0,High,60
731,Student_731,Male,71,20,90,1,High,75
732,Student_732,Male,100,13,74,3,High,78
733,Student_733,Male,81,22,68,3,Medium,53
734,Student_734,Female,91,12,59,0,Medium,59
735,Student_735,Female,80,15,81,4,Medium,61
736,Student_736,Male,93,22,81,1,Low,71
737,Student_737,Female,90,15,65,0,High,66
738,Student_738,Male,83,21,48,4,Low,50
739,Student_739,Male,97,16,80,1,Medium,69
740,Student_740,Female,87,28,73,3,Medium,68
741,Student_741,Male,92,25,79,1,Medium,67
742,Student_742,Female,81,8,98,5,High,70
743,Student_743,Female,88,19,75,2,Medium,59
744,Student_744,Male,100,11,69,1,High,66
745,Student_745,Male,96,17,61,2,Medium,59
746,Student_746,Female,90,16,71,1,Medium,49
747,Student_747,Male,84,10,77,2,High,58
748,Student_748,Male,89,22,76,5,Medium,68
749,Student_749,Male,90,17,96,3,High,73
750,Student_750,Female,92,14,81,4,Medium,50
751,Student_751,Female,79,13,73,2,Medium,62
752,Student_752,Male,93,17,67,5,Medium,61
753,Student_753,Female,79,18,78,2,High,69
754,Student_754,Female,100,15,64,3,Low,52
755,Student_755,Female,82,1,77,2,High,56
756,Student_756,Female,90,16,81,5,Medium,73
757,Student_757,Female,96,7,72,5,Medium,51
758,Student_758,Male,86,15,67,0,Medium,65
759,Student_759,Male,91,8,49,3,Medium,48
760,Student_760,Male,99,8,89,0,Medium,58
761,Student_761,Female,93,23,80,3,High,86
762,Student_762,Female,91,14,80,2,Medium,64
763,Student_763,Male,75,14,56,5,Medium,53
764,Student_764,Female,81,19,92,0,Medium,66
765,Student_765,Male,96,14,69,2,Low,50
766,Student_766,Male,93,29,72,5,Medium,72
767,Student_767,Male,94,14,62,3,Medium,64
768,Student_768,Female,93,18,54,5,Medium,55
769,Student_769,Female,98,22,89,2,Low,68
770,Student_770,Male,86,26,90,0,Medium,81
771,Student_771,Male,89,12,73,0,Medium,56
772,Student_772,Male,80,13,67,5,Medium,56
773,Student_773,Male,78,24,25,2,Medium,68
774,Student_774,Female,75,21,71,1,Low,54
775,Student_775,Female,81,22,61,3,High,66
776,Student_776,Male,100,8,71,3,High,65
777,Student_777,Male,76,25,77,2,High,69
778,Student_778,Female,86,11,87,1,Low,60
779,Student_779,Female,78,17,75,0,High,62
780,Student_780,Male,83,15,56,4,High,54
781,Student_781,Male,89,11,79,4,High,56
782,Student_782,Male,82,8,72,2,Low,45
783,Student_783,Female,97,6,91,1,Medium,57
784,Student_784,Female,100,17,92,1,High,74
785,Student_785,Female,70,7,93,3,Medium,59
786,Student_786,Male,83,9,68,0,Medium,43
787,Student_787,Male,88,15,99,5,Medium,59
788,Student_788,Female,97,1,79,1,Medium,49
789,Student_789,Female,84,21,95,5,Low,68
790,Student_790,Male,88,2,69,4,Medium,49
791,Student_791,Female,79,16,71,5,Low,49
792,Student_792,Female,76,16,78,0,Medium,65
793,Student_793,Male,100,19,77,0,Medium,64
794,Student_794,Female,73,16,90,5,Medium,65
795,Student_795,Male,100,28,72,2,Low,66
796,Student_796,Male,94,17,89,1,Medium,64
797,Student_797,Male,93,22,84,2,High,72
798,Student_798,Male,93,12,72,5,Low,57
799,Student_799,Male,86,17,83,1,Low,61
800,Student_800,Male,91,25,69,3,Low,67
801,Student_801,Male,86,15,100,2,High,75
802,Student_802,Female,92,17,43,2,Medium,44
803,Student_803,Male,88,22,83,5,Medium,79
804,Student_804,Male,80,12,54,4,Low,45
805,Student_805,Female,81,3,72,5,Medium,50
806,Student_806,Female,80,18,74,2,High,63
807,Student_807,Female,96,22,93,1,High,85
808,Student_808,Male,83,8,67,4,Medium,45
809,Student_809,Female,73,20,91,5,Low,64
810,Student_810,Male,91,20,61,5,Low,45
811,Student_811,Male,100,2,91,2,Low,57
812,Student_812,Male,94,10,69,2,Medium,50
813,Student_813,Male,83,14,76,3,Low,55
814,Student_814,Female,75,15,71,5,Medium,62
815,Student_815,Female,87,12,90,2,Medium,67
816,Student_816,Male,87,11,88,0,High,72
817,Student_817,Male,80,26,80,4,Medium,74
818,Student_818,Male,92,15,61,0,High,59
819,Student_819,Female,100,12,66,4,High,66
820,Student_820,Male,90,16,63,5,Low,44
821,Student_821,Male,89,19,48,3,High,56
822,Student_822,Female,81,16,90,2,Medium,72
823,Student_823,Female,99,15,71,2,Medium,60
824,Student_824,Male,87,12,71,2,Medium,47
825,Student_825,Female,83,12,93,5,High,78
826,Student_826,Female,89,12,69,4,Medium,59
827,Student_827,Male,92,18,65,2,Medium,64
828,Student_828,Female,89,10,72,0,High,56
829,Student_829,Male,98,18,61,2,Low,57
830,Student_830,Female,91,24,79,5,Medium,71
831,Student_831,Male,86,18,71,3,High,62
832,Student_832,Male,91,14,69,0,High,20
833,Student_833,Male,92,8,68,2,High,51
834,Student_834,Female,78,25,74,2,High,69
835,Student_835,Male,97,9,76,1,Low,58
836,Student_836,Female,86,21,69,4,High,64
837,Student_837,Male,86,20,71,0,Medium,72
838,Student_838,Male,94,15,74,1,Medium,54
839,Student_839,Female,94,14,73,3,Low,54
840,Student_840,Male,82,5,75,4,Medium,47
841,Student_841,Male,94,18,67,0,High,65
842,Student_842,Female,40,20,87,2,High,79
843,Student_843,Male,100,9,76,0,Medium,54
844,Student_844,Male,25,15,69,2,Low,49
845,Student_845,Male,90,16,79,4,Medium,66
846,Student_846,Male,82,20,74,2,High,68
847,Student_847,Female,100,16,54,3,High,63
848,Student_848,Female,78,6,79,5,Medium,47
849,Student_849,Male,92,13,63,2,Low,50
850,Student_850,Female,82,17,86,3,Medium,70
851,Student_851,Male,85,21,72,5,Medium,55
852,Student_852,Female,92,12,84,4,High,64
853,Student_853,Male,98,29,67,4,Medium,62
854,Student_854,Male,100,5,76,0,Medium,58
855,Student_855,Male,76,13,90,3,Medium,67
856,Student_856,Male,90,16,72,3,Low,55
857,Student_857,Male,100,15,68,1,High,61
858,Student_858,Male,75,9,83,1,Medium,50
859,Student_859,Female,91,19,83,5,Medium,66
860,Student_860,Male,88,18,68,5,Medium,59
861,Student_861,Female,91,16,51,1,Medium,58
862,Student_862,Male,82,18,68,5,Medium,55
863,Student_863,Female,77,13,83,2,High,66
864,Student_864,Female,73,6,66,1,Medium,45
865,Student_865,Female,96,12,75,3,Medium,56
866,Student_866,Male,97,17,67,2,Low,55
867,Student_867,Male,90,17,52,5,Medium,56
868,Student_868,Female,84,16,67,4,Low,57
869,Student_869,Male,75,19,83,0,Medium,62
870,Student_870,Female,93,13,47,1,High,49
871,Student_871,Male,79,16,78,4,High,70
872,Student_872,Female,82,19,61,5,Medium,53
873,Student_873,Female,83,15,82,3,Medium,63
874,Student_874,Male,86,9,84,0,Low,53
875,Student_875,Female,82,10,73,4,Medium,53
876,Student_876,Male,88,21,73,0,High,67
877,Student_877,Female,83,24,65,1,Medium,66
878,Student_878,Female,94,23,59,5,Medium,45
879,Student_879,Male,96,17,95,3,High,82
880,Student_880,Male,89,9,65,5,High,53
881,Student_881,Male,92,16,94,0,Medium,71
882,Student_882,Female,100,25,65,4,Medium,70
883,Student_883,Male,79,20,81,1,Low,65
884,Student_884,Female,78,15,61,1,Low,49
885,Student_885,Female,94,20,81,5,High,69
886,Student_886,Male,100,8,71,4,High,53
887,Student_887,Male,86,12,71,4,High,59
888,Student_888,Female,100,9,82,0,Low,46
889,Student_889,Female,89,19,69,5,High,63
890,Student_890,Male,83,20,58,5,Medium,56
891,Student_891,Male,80,15,84,2,Medium,58
892,Student_892,Male,93,11,61,5,Medium,54
893,Student_893,Male,81,16,81,1,Low,55
894,Student_894,Male,89,13,87,0,High,66
895,Student_895,Female,100,11,70,4,Medium,46
896,Student_896,Female,86,18,89,5,Low,56
897,Student_897,Female,99,11,81,0,Low,60
898,Student_898,Female,78,7,67,5,Low,48
899,Student_899,Male,84,8,92,4,Low,45
900,Student_900,Male,77,6,61,3,Medium,41
901,Student_901,Male,89,17,70,4,High,71
902,Student_902,Female,94,17,73,4,Low,54
903,Student_903,Female,89,17,82,4,Low,59
904,Student_904,Male,98,20,88,5,Medium,79
905,Student_905,Male,82,23,88,2,High,73
906,Student_906,Female,90,55,78,4,Medium,57
907,Student_907,Female,84,18,72,1,Medium,60
908,Student_908,Male,91,7,53,1,Medium,56
909,Student_909,Male,92,24,59,0,Medium,65
910,Student_910,Female,93,9,96,2,Low,59
911,Student_911,Male,79,12,53,0,High,50
912,Student_912,Male,81,12,66,1,Medium,56
913,Student_913,Male,82,7,89,1,Medium,61
914,Student_914,Female,86,16,78,3,High,61
915,Student_915,Female,89,17,86,4,Medium,69
916,Student_916,Female,94,15,82,1,Medium,63
917,Student_917,Female,81,7,93,5,Medium,59
918,Student_918,Female,75,28,79,5,Low,59
919,Student_919,Female,100,19,83,0,Low,62
920,Student_920,Female,79,32,66,0,Medium,63
921,Student_921,Male,95,11,82,4,High,61
922,Student_922,Male,88,22,70,4,High,71
923,Student_923,Male,90,21,70,3,Medium,62
924,Student_924,Male,88,14,86,2,Low,52
925,Student_925,Male,85,24,86,0,Low,76
926,Student_926,Male,92,14,95,4,High,67
927,Student_927,Male,84,14,94,0,Medium,71
928,Student_928,Female,97,1,86,4,Medium,48
929,Student_929,Female,93,18,54,1,High,64
930,Student_930,Male,93,8,97,0,High,67
931,Student_931,Male,84,13,86,1,High,63
932,Student_932,Female,86,10,66,0,Low,49
933,Student_933,Male,78,14,84,2,High,65
934,Student_934,Male,85,19,63,3,High,59
935,Student_935,Female,80,16,82,5,Medium,57
936,Student_936,Male,99,20,59,5,Medium,54
937,Student_937,Female,88,24,65,5,Medium,65
938,Student_938,Male,89,14,84,1,High,62
939,Student_939,Female,86,13,88,4,Low,58
940,Student_940,Female,90,22,79,5,Medium,71
941,Student_941,Female,100,22,72,2,Low,64
942,Student_942,Male,86,20,50,5,High,56
943,Student_943,Female,83,10,72,0,Low,53
944,Student_944,Male,92,19,81,1,Medium,65
945,Student_945,Male,68,17,71,0,Medium,49
946,Student_946,Male,89,22,75,0,High,70
947,Student_947,Male,85,13,73,0,Medium,60
948,Student_948,Female,80,6,71,3,Low,41
949,Student_949,Female,92,20,76,3,High,75
950,Student_950,Male,88,1,72,4,Medium,44
